Index,Name,Category,Year,Link
288,Miguel Ángel Asturias,Physiologyor Medicine,1967,/wiki/Miguel_Ángel_Asturias
289,Luis Walter Alvarez,Year,1968,/wiki/Luis_Walter_Alvarez
290,Lars Onsager,Physics,1968,/wiki/Lars_Onsager
291,Robert W. Holley,Chemistry,1968,/wiki/Robert_W._Holley
292,Yasunari Kawabata,Physiologyor Medicine,1968,/wiki/Yasunari_Kawabata
293,René Cassin,Literature,1968,/wiki/René_Cassin
294,Murray Gell-Mann,Year,1969,/wiki/Murray_Gell-Mann
295,Derek Barton,Physics,1969,/wiki/Derek_Barton
296,Max Delbrück,Chemistry,1969,/wiki/Max_Delbrück
297,Samuel Beckett,Physiologyor Medicine,1969,/wiki/Samuel_Beckett
298,International Labour Organization,Literature,1969,/wiki/International_Labour_Organization
299,Ragnar Frisch,Peace,1969,/wiki/Ragnar_Frisch
300,Hannes Alfvén,Year,1970,/wiki/Hannes_Alfvén
301,Luis Federico Leloir,Physics,1970,/wiki/Luis_Federico_Leloir
302,Julius Axelrod,Chemistry,1970,/wiki/Julius_Axelrod
303,Aleksandr Solzhenitsyn,Physiologyor Medicine,1970,/wiki/Aleksandr_Solzhenitsyn
304,Norman Borlaug,Literature,1970,/wiki/Norman_Borlaug
305,Paul Samuelson,Peace,1970,/wiki/Paul_Samuelson
306,Dennis Gabor,Year,1971,/wiki/Dennis_Gabor
307,Gerhard Herzberg,Physics,1971,/wiki/Gerhard_Herzberg
308,Earl Wilbur Sutherland Jr.,Chemistry,1971,/wiki/Earl_Wilbur_Sutherland_Jr.
309,Pablo Neruda,Physiologyor Medicine,1971,/wiki/Pablo_Neruda
310,Willy Brandt,Literature,1971,/wiki/Willy_Brandt
311,Simon Kuznets,Peace,1971,/wiki/Simon_Kuznets
312,John Bardeen,Year,1972,/wiki/John_Bardeen
313,Christian B. Anfinsen,Physics,1972,/wiki/Christian_B._Anfinsen
314,Gerald Edelman,Chemistry,1972,/wiki/Gerald_Edelman
315,Heinrich Böll,Physiologyor Medicine,1972,/wiki/Heinrich_Böll
316,John Hicks,Peace,1972,/wiki/John_Hicks
317,Leo Esaki,Year,1973,/wiki/Leo_Esaki
318,Ernst Otto Fischer,Physics,1973,/wiki/Ernst_Otto_Fischer
319,Karl von Frisch,Chemistry,1973,/wiki/Karl_von_Frisch
320,Patrick White,Physiologyor Medicine,1973,/wiki/Patrick_White
321,Henry Kissinger,Literature,1973,/wiki/Henry_Kissinger
322,Wassily Leontief,Peace,1973,/wiki/Wassily_Leontief
323,Martin Ryle,Year,1974,/wiki/Martin_Ryle
324,Paul Flory,Physics,1974,/wiki/Paul_Flory
325,Albert Claude,Chemistry,1974,/wiki/Albert_Claude
326,Eyvind Johnson,Physiologyor Medicine,1974,/wiki/Eyvind_Johnson
327,Seán MacBride,Literature,1974,/wiki/Seán_MacBride
328,Gunnar Myrdal,Peace,1974,/wiki/Gunnar_Myrdal
329,Aage Bohr,Year,1975,/wiki/Aage_Bohr
330,John Cornforth,Physics,1975,/wiki/John_Cornforth
331,David Baltimore,Chemistry,1975,/wiki/David_Baltimore
332,Eugenio Montale,Physiologyor Medicine,1975,/wiki/Eugenio_Montale
333,Andrei Sakharov,Literature,1975,/wiki/Andrei_Sakharov
334,Leonid Kantorovich,Peace,1975,/wiki/Leonid_Kantorovich
335,Burton Richter,Year,1976,/wiki/Burton_Richter
336,William Lipscomb,Physics,1976,/wiki/William_Lipscomb
337,Baruch Samuel Blumberg,Chemistry,1976,/wiki/Baruch_Samuel_Blumberg
338,Saul Bellow,Physiologyor Medicine,1976,/wiki/Saul_Bellow
339,Betty Williams,Literature,1976,/wiki/Betty_Williams_(peace_activist)
340,Milton Friedman,Peace,1976,/wiki/Milton_Friedman
341,Philip W. Anderson,Year,1977,/wiki/Philip_W._Anderson
342,Ilya Prigogine,Physics,1977,/wiki/Ilya_Prigogine
343,Roger Guillemin,Chemistry,1977,/wiki/Roger_Guillemin
344,Vicente Aleixandre,Physiologyor Medicine,1977,/wiki/Vicente_Aleixandre
345,Amnesty International,Literature,1977,/wiki/Amnesty_International
346,Bertil Ohlin,Peace,1977,/wiki/Bertil_Ohlin
347,Pyotr Kapitsa,Year,1978,/wiki/Pyotr_Kapitsa
348,Peter D. Mitchell,Physics,1978,/wiki/Peter_D._Mitchell
349,Werner Arber,Chemistry,1978,/wiki/Werner_Arber
350,Isaac Bashevis Singer,Physiologyor Medicine,1978,/wiki/Isaac_Bashevis_Singer
351,Anwar Sadat,Literature,1978,/wiki/Anwar_Sadat
352,Herbert A. Simon,Peace,1978,/wiki/Herbert_A._Simon
353,Sheldon Glashow,Year,1979,/wiki/Sheldon_Glashow
354,Herbert C. Brown,Physics,1979,/wiki/Herbert_C._Brown
355,Allan McLeod Cormack,Chemistry,1979,/wiki/Allan_McLeod_Cormack
356,Odysseas Elytis,Physiologyor Medicine,1979,/wiki/Odysseas_Elytis
357,Mother Teresa,Literature,1979,/wiki/Mother_Teresa
358,Theodore Schultz,Peace,1979,/wiki/Theodore_Schultz
359,James Cronin,Year,1980,/wiki/James_Cronin
360,Paul Berg,Physics,1980,/wiki/Paul_Berg
361,Baruj Benacerraf,Chemistry,1980,/wiki/Baruj_Benacerraf
362,Czesław Miłosz,Physiologyor Medicine,1980,/wiki/Czesław_Miłosz
363,Adolfo Pérez Esquivel,Literature,1980,/wiki/Adolfo_Pérez_Esquivel
364,Lawrence Klein,Peace,1980,/wiki/Lawrence_Klein
365,Nicolaas Bloembergen,Year,1981,/wiki/Nicolaas_Bloembergen
366,Kenichi Fukui,Physics,1981,/wiki/Kenichi_Fukui
367,Roger Wolcott Sperry,Chemistry,1981,/wiki/Roger_Wolcott_Sperry
368,Elias Canetti,Physiologyor Medicine,1981,/wiki/Elias_Canetti
369,United Nations High Commissioner for Refugees,Literature,1981,/wiki/United_Nations_High_Commissioner_for_Refugees
370,James Tobin,Peace,1981,/wiki/James_Tobin
371,Kenneth G. Wilson,Year,1982,/wiki/Kenneth_G._Wilson
372,Aaron Klug,Physics,1982,/wiki/Aaron_Klug
373,Sune Bergström,Chemistry,1982,/wiki/Sune_Bergström
374,Gabriel García Márquez,Physiologyor Medicine,1982,/wiki/Gabriel_García_Márquez
375,Alva Myrdal,Literature,1982,/wiki/Alva_Myrdal
376,George Stigler,Peace,1982,/wiki/George_Stigler
377,Subrahmanyan Chandrasekhar,Year,1983,/wiki/Subrahmanyan_Chandrasekhar
378,Henry Taube,Physics,1983,/wiki/Henry_Taube
379,Barbara McClintock,Chemistry,1983,/wiki/Barbara_McClintock
380,William Golding,Physiologyor Medicine,1983,/wiki/William_Golding
381,Lech Wałęsa,Literature,1983,/wiki/Lech_Wałęsa
